altura_cm,edad_anios,percentil,distancia_m,unidad,fuente
150,40,2.5,436,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,50,2.5,434,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,60,2.5,414,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,70,2.5,364,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,80,2.5,313,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,40,10,470,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,50,10,468,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,60,10,448,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,70,10,397,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,80,10,347,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,40,25,511,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,50,25,509,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,60,25,489,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,70,25,439,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,80,25,388,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,40,50,555,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,50,50,553,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,60,50,533,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,70,50,483,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,80,50,432,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,40,75,592,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,50,75,590,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,60,75,570,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,70,75,520,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,80,75,469,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,40,90,631,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,50,90,629,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,60,90,609,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,70,90,558,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,80,90,508,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,40,97.5,679,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,50,97.5,677,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,60,97.5,656,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,70,97.5,606,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
150,80,97.5,556,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
160,40,2.5,455,m,https://pmc.ncbi.nlm.nih.gov/articles/PMC12408663/
