sexo,edad_rango,percentil,fuerza_kg,unidad,fuente
Hombre,20-24,5,33.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,20-24,10,36.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,20-24,20,40.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,20-24,30,43.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,20-24,40,45.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,20-24,50,48.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,20-24,60,50.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,20-24,70,52.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,20-24,80,56.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,20-24,90,60.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,20-24,95,63.6,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,5,35.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,10,38.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,20,42.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,30,44.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,40,47.1,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,50,49.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,60,51.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,70,53.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,80,56.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,90,60.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,25-29,95,64.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,5,35.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,10,38.3,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,20,42.2,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,30,45.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,40,47.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,50,49.7,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,60,52.0,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,70,54.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,80,57.4,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,90,61.5,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,30-34,95,64.9,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
Hombre,35-39,5,33.8,kg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863340/
