sexo,grupo_edad,edad_rango,n_muestra,percentil,valor_repeticiones,fuente
Hombre,AG1,65-69,251,10,12,doi:10.1016/j.archger.2012.02.004
Hombre,AG1,65-69,251,20,13,doi:10.1016/j.archger.2012.02.004
Hombre,AG1,65-69,251,30,14,doi:10.1016/j.archger.2012.02.004
Hombre,AG1,65-69,251,40,15,doi:10.1016/j.archger.2012.02.004
Hombre,AG1,65-69,251,50,16,doi:10.1016/j.archger.2012.02.004
Hombre,AG1,65-69,251,60,16,doi:10.1016/j.archger.2012.02.004
Hombre,AG1,65-69,251,70,17,doi:10.1016/j.archger.2012.02.004
Hombre,AG1,65-69,251,80,19,doi:10.1016/j.archger.2012.02.004
Hombre,AG1,65-69,251,90,21,doi:10.1016/j.archger.2012.02.004
Hombre,AG1,65-69,251,100,28,doi:10.1016/j.archger.2012.02.004
Hombre,AG2,70-74,215,10,11,doi:10.1016/j.archger.2012.02.004
Hombre,AG2,70-74,215,20,13,doi:10.1016/j.archger.2012.02.004
Hombre,AG2,70-74,215,30,14,doi:10.1016/j.archger.2012.02.004
Hombre,AG2,70-74,215,40,15,doi:10.1016/j.archger.2012.02.004
Hombre,AG2,70-74,215,50,15,doi:10.1016/j.archger.2012.02.004
Hombre,AG2,70-74,215,60,16,doi:10.1016/j.archger.2012.02.004
Hombre,AG2,70-74,215,70,17,doi:10.1016/j.archger.2012.02.004
Hombre,AG2,70-74,215,80,18,doi:10.1016/j.archger.2012.02.004
Hombre,AG2,70-74,215,90,20,doi:10.1016/j.archger.2012.02.004
Hombre,AG2,70-74,215,100,29,doi:10.1016/j.archger.2012.02.004
Hombre,AG3,75-79,154,10,10,doi:10.1016/j.archger.2012.02.004
Hombre,AG3,75-79,154,20,12,doi:10.1016/j.archger.2012.02.004
Hombre,AG3,75-79,154,30,13,doi:10.1016/j.archger.2012.02.004
Hombre,AG3,75-79,154,40,14,doi:10.1016/j.archger.2012.02.004
Hombre,AG3,75-79,154,50,14,doi:10.1016/j.archger.2012.02.004
Hombre,AG3,75-79,154,60,15,doi:10.1016/j.archger.2012.02.004
Hombre,AG3,75-79,154,70,16,doi:10.1016/j.archger.2012.02.004
Hombre,AG3,75-79,154,80,17,doi:10.1016/j.archger.2012.02.004
Hombre,AG3,75-79,154,90,19,doi:10.1016/j.archger.2012.02.004
Hombre,AG3,75-79,154,100,25,doi:10.1016/j.archger.2012.02.004
Hombre,AG4,80-84,55,10,9,doi:10.1016/j.archger.2012.02.004
Hombre,AG4,80-84,55,20,10,doi:10.1016/j.archger.2012.02.004
Hombre,AG4,80-84,55,30,11,doi:10.1016/j.archger.2012.02.004
Hombre,AG4,80-84,55,40,12,doi:10.1016/j.archger.2012.02.004
Hombre,AG4,80-84,55,50,14,doi:10.1016/j.archger.2012.02.004
Hombre,AG4,80-84,55,60,15,doi:10.1016/j.archger.2012.02.004
Hombre,AG4,80-84,55,70,16,doi:10.1016/j.archger.2012.02.004
Hombre,AG4,80-84,55,80,17,doi:10.1016/j.archger.2012.02.004
Hombre,AG4,80-84,55,90,18,doi:10.1016/j.archger.2012.02.004
Hombre,AG4,80-84,55,100,22,doi:10.1016/j.archger.2012.02.004
Hombre,AG5,>84,18,10,9,doi:10.1016/j.archger.2012.02.004
Hombre,AG5,>84,18,20,9,doi:10.1016/j.archger.2012.02.004
Hombre,AG5,>84,18,30,12,doi:10.1016/j.archger.2012.02.004
Hombre,AG5,>84,18,40,13,doi:10.1016/j.archger.2012.02.004
Hombre,AG5,>84,18,50,14,doi:10.1016/j.archger.2012.02.004
Hombre,AG5,>84,18,60,14,doi:10.1016/j.archger.2012.02.004
Hombre,AG5,>84,18,70,16,doi:10.1016/j.archger.2012.02.004
Hombre,AG5,>84,18,80,18,doi:10.1016/j.archger.2012.02.004
Hombre,AG5,>84,18,90,20,doi:10.1016/j.archger.2012.02.004
Hombre,AG5,>84,18,100,21,doi:10.1016/j.archger.2012.02.004
Mujer,AG1,65-69,852,10,11,doi:10.1016/j.archger.2012.02.004
Mujer,AG1,65-69,852,20,12,doi:10.1016/j.archger.2012.02.004
